Pos;Latitud;Longitud;Cuenca;Distancia;Variacion;area;EC;Rosa;Regadios
0;41.14561833;-4.97712239;Zapardiel;16162.21343;110.002;2121.539;13;-0.201243557;113
1;41.05588081;-5.080377775;Trabancos;10215.4459;113.95;17791.846;40;-0.187583302;65
2;41.05598881;-5.122044418;Trabancos;13181.50892;118.331;630.254;22;-0.187583302;61
3;41.05777262;-4.979380085;Zapardiel;6407.321194;105.292;543.008;18;-0.196243557;73
4;41.05996008;-5.107967002;Trabancos;12380.01485;117.176;231.006;29;-0.182583302;79
5;41.06006786;-5.018817181;Zapardiel;7277.249927;108.88;869.02;25;-0.201243557;62
6;41.06204209;-5.038064335;Zapardiel;8252.121175;110.679;719.055;33;-0.196243557;66
7;41.0626931;-4.987926093;Zapardiel;6952.364686;106.363;328.764;21;-0.196243557;52
8;41.06283189;-5.021137365;Zapardiel;7637.129616;109.286;522.546;25;-0.201243557;66
9;41.06509447;-5.068820756;Trabancos;10158.70609;113.75;199.011;38;-0.187583302;58
10;41.0659917;-5.047228105;Zapardiel;9052.81534;111.845;839.059;31;-0.201243557;62
11;41.06589338;-5.125209893;Trabancos;13958.59171;119.63;375.005;21;-0.192583302;70
12;41.0661182;-5.104697213;Trabancos;12535.30637;117.438;413.512;29;-0.182583302;77
13;41.07309727;-5.080946988;Trabancos;11507.9208;115.663;2729.628;33;-0.187583302;79
14;41.07553944;-5.085095057;Trabancos;11946.60079;116.288;728.532;31;-0.192583302;81
15;41.07907149;-5.027936334;Zapardiel;9518.417936;111.16;1178.098;20;-0.191243557;88
16;41.08147577;-5.13935612;Trabancos;15899.09863;122.519;1622.006;8;-0.183923048;50
17;41.0813418;-5.021569563;Zapardiel;9559.695871;110.723;1592.642;19;-0.177583302;89
18;41.08162203;-5.039785157;Zapardiel;10200.2202;112.451;392.53;25;-0.196243557;82
19;41.08224563;-4.956070805;Zapardiel;9406.588005;103.941;382.069;21;-0.187583302;63
20;41.08268057;-4.949792185;Zapardiel;9596.877567;103.212;1041.831;25;-0.199903811;73
21;41.08635653;-5.090871012;Trabancos;13144.46457;117.799;640.525;18;-0.182583302;99
22;41.08708515;-5.078140495;Trabancos;12497.62985;116.568;3953.196;19;-0.192583302;98
23;41.08834959;-5.062264792;Zapardiel;11811.36197;115.144;4851.797;21;-0.192583302;87
24;41.08831707;-4.957020713;Zapardiel;10043.1394;104.31;466.898;24;-0.196243557;70
25;41.08975068;-5.04394819;Zapardiel;11162.90372;113.46;841.062;19;-0.192583302;86
26;41.10439268;-4.969346363;Zapardiel;11637.23741;106.523;448.84;24;-0.196243557;96
27;41.10548705;-4.965572074;Zapardiel;11794.95301;106.126;600.96;23;-0.196243557;99
28;41.10568029;-4.964606462;Zapardiel;11826.98911;106.021;1148.386;23;-0.196243557;99
29;41.10634753;-4.972416847;Zapardiel;11829.65324;107;755.153;24;-0.196243557;85
30;41.10950462;-5.018840722;Zapardiel;12495.84165;112.3;681.428;14;-0.206243557;100
31;41.1112272;-5.071016807;Zapardiel;14351.50143;117.713;376.02;8;-0.192583302;81
32;41.11134902;-4.975386211;Zapardiel;12366.73332;107.628;1515.437;23;-0.206243557;99
33;41.11263067;-4.96877632;Zapardiel;12552.22737;106.909;1352.195;23;-0.201243557;108
34;41.12585549;-4.989218088;Zapardiel;13965.55504;110.099;14144.904;16;-0.201243557;154
35;40.96694055;-5.097049425;Trabancos;8463.011308;102.615;745.024;5;-0.199903811;30
36;41.00103722;-4.940027408;Zapardiel;3043.663503;99.519;666.326;12;-0.196243557;17
37;41.00412813;-5.038919634;Zapardiel;4664.826258;103.689;452.034;21;-0.204903811;75
38;41.00570281;-5.069824648;Trabancos;7270.110747;106.398;7955.428;28;-0.192583302;38
39;41.01070711;-5.060400965;Trabancos;6556.291182;106.376;285.517;29;-0.209903811;35
40;41.01279071;-5.06009692;Trabancos;6576.421903;106.651;1368.582;29;-0.209903811;38
41;41.01311857;-5.067170182;Trabancos;7166.127946;107.337;317.017;31;-0.201243557;32
42;41.01400798;-5.055109564;Trabancos;6199.20139;106.423;768.549;29;-0.209903811;37
43;41.01434995;-5.019958389;Zapardiel;3431.231915;104.119;971.794;22;-0.177583302;113
44;41.01463893;-5.083576621;Trabancos;8552.78905;109.154;205.009;32;-0.197583302;32
45;41.0167373;-5.065447543;Trabancos;7117.177473;107.726;2501.642;32;-0.209903811;35
46;41.0184459;-5.048151677;Trabancos;5787.705737;106.537;3108.716;32;-0.201243557;36
47;41.02149803;-5.048273739;Trabancos;5924.380737;106.978;435.029;34;-0.201243557;28
48;41.02171111;-5.025392115;Zapardiel;4243.917928;105.417;392.535;28;-0.191243557;70
49;41.02336346;-5.059113694;Trabancos;6845.17872;108.136;570.535;34;-0.209903811;29
50;41.02523559;-5.044277089;Trabancos;5804.902271;107.204;643.046;37;-0.191243557;32
51;41.02818789;-5.093358301;Trabancos;9733.167482;112.044;1218.544;35;-0.192583302;36
52;41.03595674;-5.124852624;Trabancos;15299.64104;116.579;48968.622;18;-0.187583302;16
53;41.03161558;-5.074752425;Trabancos;8415.876686;110.614;14070.732;41;-0.201243557;37
54;41.03102504;-5.101411166;Trabancos;10475.84928;113.299;1242.539;36;-0.182583302;38
55;41.03408742;-5.100930111;Trabancos;10553.94144;113.609;671.521;37;-0.182583302;48
56;41.03420438;-5.012105488;Zapardiel;4470.528732;106.004;820.34;29;-0.201243557;66
57;41.03441288;-5.097210833;Trabancos;10275.60812;113.254;584.52;37;-0.182583302;49
58;41.03713463;-5.095146675;Trabancos;10231.81407;113.343;570.02;37;-0.192583302;48
59;41.03750378;-5.115269611;Trabancos;11816.03863;115.616;1069.523;29;-0.187583302;34
60;41.03798626;-4.990432356;Zapardiel;4237.327072;104.866;704.934;13;-0.196243557;100
61;41.03808211;-4.958120725;Zapardiel;4728.834805;102.48;1871.114;14;-0.191243557;94
62;41.03829318;-5.11557379;Trabancos;11870.92011;115.727;649.513;28;-0.187583302;38
63;41.03891887;-5.057040409;Trabancos;7519.889941;109.943;4955.817;42;-0.196243557;28
64;41.03899607;-5.065913733;Trabancos;8147.693263;110.717;1053.56;44;-0.196243557;38
65;41.03959488;-5.061221331;Trabancos;7852.456375;110.391;708.043;42;-0.196243557;30
66;41.0429774;-5.064172292;Trabancos;8269.621699;111.045;810.047;43;-0.196243557;33
67;41.04351914;-5.049555229;Trabancos;7337.267284;109.841;4339.809;41;-0.196243557;20
68;41.04312137;-5.038270909;Trabancos;6618.332781;108.871;808.562;39;-0.196243557;26
69;41.04632255;-4.959232878;Zapardiel;5523.638094;102.94;12148.791;17;-0.196243557;96
70;41.04974139;-5.077484179;Trabancos;9617.29573;113.036;4694.234;44;-0.196243557;49
71;41.04980392;-5.063453247;Trabancos;8680.430581;111.738;1267.075;48;-0.192583302;39
72;41.05378769;-5.060898971;Trabancos;8808.248945;111.913;2948.181;46;-0.192583302;56
73;41.05430115;-5.015228639;Zapardiel;6569.53488;108.085;678.818;27;-0.192583302;46
74;41.02450286;-4.830210472;Zapardiel;123.7946665;87.33;11224.945;21;-0.190262794;370
75;41.02689929;-4.797129686;Zapardiel;806.0962796;81.985;5309.374;22;-0.193923048;308
76;41.02722892;-4.79349704;Zapardiel;890.0387828;81.416;3040.529;22;-0.185262794;289
77;41.02627157;-4.795071162;Zapardiel;763.6235186;81.8;4287.736;22;-0.185262794;303
78;41.02314866;-4.799817198;Zapardiel;359.5236094;83.025;1281.685;22;-0.193923048;319
79;41.02308847;-4.791364373;Zapardiel;462.5811755;81.874;62.205;22;-0.185262794;293
80;41.0224392;-4.793664199;Zapardiel;361.5248418;82.289;1965.776;22;-0.185262794;303
81;41.02286344;-4.763375601;Adaja;1217.571074;78.868;2435.989;17;-0.197583302;295
