Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
916,40.30946803,-5.01140388,Tietar,17457.30552,640.124,578.476,4,-0.037320508,0,89903.58673791519,17.5,60.86,0.01
938,40.26992255,-5.081925385,Tietar,11525.8937,518.364,208.294,1,-0.050980762,18,32573.181744458274,17.5,60.86,0.01
941,40.25043685,-4.999501336,Tietar,12491.53789,521.556,185.74,1,-0.018660254,1,28667.21077084712,17.5,60.86,0.0
942,40.23878342,-5.048915208,Tietar,9003.946896,489.669,308.194,2,-0.022320508,0,48211.52780670038,17.5,60.86,0.01
943,40.19089951,-5.080945536,Tietar,3028.877797,404.303,3085.155,7,-0.013660254,6,483431.10254846973,17.5,60.86,0.08
958,40.17888466,-5.036752031,Tietar,5358.770959,407.633,2803.718,8,-0.046961524,4,439151.36350363627,17.5,60.85,0.07
959,40.16423012,-5.031491197,Tietar,5644.87257,393.796,347.236,13,-0.056961524,3,54080.650526672696,17.5,60.85,0.01
961,40.14999331,-5.005204719,Tietar,8096.299133,383.703,28239.528,12,-0.054641016,14,4429579.7368949475,17.5,60.85,0.74
962,40.13710421,-5.002092901,Tietar,8786.806945,373.961,14160.44,11,-0.050980762,8,2221345.2954373434,17.5,60.85,0.37
963,40.17276404,-5.002307026,Tietar,8149.83596,404.832,3483.98,14,-0.06330127,10,546028.1678555056,17.5,60.85,0.09
964,40.15620063,-4.998610722,Tietar,8521.077621,389.072,3962.594,13,-0.074641016,16,620974.4530978851,17.5,60.85,0.1
965,40.14113162,-4.99489173,Tietar,9209.854539,376.821,103953.761,12,-0.074641016,13,16309226.981502509,17.5,60.85,2.72
966,40.1487036,-4.996348257,Tietar,8863.662378,382.714,2688.493,13,-0.064641016,16,421589.49211641797,17.5,60.85,0.07
967,40.15591486,-4.98518288,Tietar,9659.256056,388.267,5101.64,14,-0.069641016,19,799522.7258446423,17.5,60.85,0.13
968,40.16740628,-4.977978925,Tietar,10196.04027,397.921,10620.544,15,-0.084641016,72,1664846.4519205864,17.5,60.85,0.28
969,40.14589092,-4.960834768,Tietar,11887.60392,377.203,6781.39,17,-0.065980762,79,1063459.5515987216,17.5,60.85,0.18
970,40.18262831,-4.963698254,Tietar,11545.18185,410.725,891.573,10,-0.079641016,77,139442.43286404503,17.5,60.85,0.02
971,40.17812692,-4.945213091,Tietar,13046.46832,400.64,4559.2,12,-0.10830127,119,714169.3508822721,17.5,60.85,0.12
972,40.13587302,-4.939744201,Tietar,13887.98363,366.199,1378.877,9,-0.040980762,1,216347.63765618738,17.5,60.85,0.04
973,40.13976587,-4.929679284,Tietar,14625.13696,366.107,847.528,7,-0.050980762,10,132937.09691823198,17.5,60.85,0.02
974,40.15411338,-4.925075074,Tietar,14771.50116,374.317,1405.902,9,-0.070980762,45,220255.76508307003,17.5,60.85,0.04
975,40.1446394,-4.923467215,Tietar,15044.9786,367.468,224.984,7,-0.065980762,22,35189.22789233863,17.5,60.85,0.01
977,40.17969201,-4.913623392,Tietar,15741.52861,388.826,643.27,6,-0.10330127,8,100351.25957212216,17.5,60.85,0.02
978,40.15832737,-5.348539361,Tietar,13710.19483,311.034,292.958,16,0.057320508,54,45596.89636341569,17.5,60.87,0.01
979,40.16006668,-5.340185611,Tietar,13005.59958,311.498,1408.07,22,0.059641016,81,220169.21084886394,17.5,60.87,0.04
981,40.15886679,-5.337685871,Tietar,12787.71686,311.691,2453.485,22,0.042320508,101,384320.5005770919,17.5,60.87,0.06
982,40.15736986,-5.337717774,Tietar,12785.99239,311.762,3784.012,22,0.052320508,101,592766.5261007211,17.5,60.87,0.1
984,40.15453402,-5.329040271,Tietar,12044.17678,312.205,1065.479,25,0.052320508,111,166758.24426342273,17.5,60.87,0.03
986,40.16117981,-5.3259338,Tietar,11799.17678,312.04,448.339,25,0.028660254,111,69699.40819648353,17.5,60.87,0.01
987,40.12537726,-5.320231048,Tietar,11763.36303,312.436,11609.458,21,0.099641016,36,1821389.5142055391,17.5,60.87,0.3
