Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
1,41.05588081,-5.080377775,Trabancos,10215.4459,113.95,17791.846,40,-0.187583302,65,2946174.2648125705,18.83,56.56,0.49
2,41.05598881,-5.122044418,Trabancos,13181.50892,118.331,630.254,22,-0.187583302,61,103740.83633965446,18.83,56.57,0.02
4,41.05996008,-5.107967002,Trabancos,12380.01485,117.176,231.006,29,-0.182583302,79,37851.5965147107,18.83,56.57,0.01
9,41.06509447,-5.068820756,Trabancos,10158.70609,113.75,199.011,38,-0.187583302,58,32945.5634533968,18.83,56.56,0.01
11,41.06589338,-5.125209893,Trabancos,13958.59171,119.63,375.005,21,-0.192583302,70,61683.164518905614,18.83,56.57,0.01
12,41.0661182,-5.104697213,Trabancos,12535.30637,117.438,413.512,29,-0.182583302,77,67992.50307109157,18.83,56.57,0.01
13,41.07309727,-5.080946988,Trabancos,11507.9208,115.663,2729.628,33,-0.187583302,79,451418.29479793063,18.83,56.57,0.07
14,41.07553944,-5.085095057,Trabancos,11946.60079,116.288,728.532,31,-0.192583302,81,120564.61079691646,18.83,56.57,0.02
16,41.08147577,-5.13935612,Trabancos,15899.09863,122.519,1622.006,8,-0.183923048,50,268456.51263003645,18.83,56.57,0.04
21,41.08635653,-5.090871012,Trabancos,13144.46457,117.799,640.525,18,-0.182583302,99,105843.28314858596,18.83,56.57,0.02
22,41.08708515,-5.078140495,Trabancos,12497.62985,116.568,3953.196,19,-0.192583302,98,653990.0010063808,18.83,56.57,0.11
35,40.96694055,-5.097049425,Trabancos,8463.011308,102.615,745.024,5,-0.199903811,30,123377.53981250788,18.83,56.56,0.02
38,41.00570281,-5.069824648,Trabancos,7270.110747,106.398,7955.428,28,-0.192583302,38,1318581.2267838968,18.83,56.56,0.22
39,41.01070711,-5.060400965,Trabancos,6556.291182,106.376,285.517,29,-0.209903811,35,46967.10147986343,18.83,56.56,0.01
40,41.01279071,-5.06009692,Trabancos,6576.421903,106.651,1368.582,29,-0.209903811,38,226423.17919682243,18.83,56.56,0.04
41,41.01311857,-5.067170182,Trabancos,7166.127946,107.337,317.017,31,-0.201243557,32,51873.80594466199,18.83,56.56,0.01
42,41.01400798,-5.055109564,Trabancos,6199.20139,106.423,768.549,29,-0.209903811,37,126881.36830640657,18.83,56.56,0.02
44,41.01463893,-5.083576621,Trabancos,8552.78905,109.154,205.009,32,-0.197583302,32,33647.500508270685,18.83,56.56,0.01
45,41.0167373,-5.065447543,Trabancos,7117.177473,107.726,2501.642,32,-0.209903811,35,414288.7652734653,18.83,56.56,0.07
46,41.0184459,-5.048151677,Trabancos,5787.705737,106.537,3108.716,32,-0.201243557,36,515236.9557945839,18.83,56.56,0.09
47,41.02149803,-5.048273739,Trabancos,5924.380737,106.978,435.029,34,-0.201243557,28,71502.10315036088,18.83,56.56,0.01
49,41.02336346,-5.059113694,Trabancos,6845.17872,108.136,570.535,34,-0.209903811,29,93933.3892093045,18.83,56.56,0.02
50,41.02523559,-5.044277089,Trabancos,5804.902271,107.204,643.046,37,-0.191243557,32,106552.113046387,18.83,56.56,0.02
51,41.02818789,-5.093358301,Trabancos,9733.167482,112.044,1218.544,35,-0.192583302,36,201881.76584086014,18.83,56.56,0.03
52,41.03595674,-5.124852624,Trabancos,15299.64104,116.579,48968.622,18,-0.187583302,16,8112921.421020882,18.83,56.57,1.35
53,41.03161558,-5.074752425,Trabancos,8415.876686,110.614,14070.732,41,-0.201243557,37,2331474.3795020604,18.83,56.56,0.39
54,41.03102504,-5.101411166,Trabancos,10475.84928,113.299,1242.539,36,-0.182583302,38,205385.2214120915,18.83,56.56,0.03
55,41.03408742,-5.100930111,Trabancos,10553.94144,113.609,671.521,37,-0.182583302,48,110753.58415679554,18.83,56.56,0.02
57,41.03441288,-5.097210833,Trabancos,10275.60812,113.254,584.52,37,-0.182583302,49,96734.33726747725,18.83,56.56,0.02
58,41.03713463,-5.095146675,Trabancos,10231.81407,113.343,570.02,37,-0.192583302,48,93930.36943386684,18.83,56.56,0.02
59,41.03750378,-5.115269611,Trabancos,11816.03863,115.616,1069.523,29,-0.187583302,34,176642.97060268756,18.83,56.57,0.03
62,41.03829318,-5.11557379,Trabancos,11870.92011,115.727,649.513,28,-0.187583302,38,107247.43480636778,18.83,56.57,0.02
63,41.03891887,-5.057040409,Trabancos,7519.889941,109.943,4955.817,42,-0.196243557,28,820857.1472661109,18.83,56.56,0.14
64,41.03899607,-5.065913733,Trabancos,8147.693263,110.717,1053.56,44,-0.196243557,38,174545.10779054556,18.83,56.56,0.03
65,41.03959488,-5.061221331,Trabancos,7852.456375,110.391,708.043,42,-0.196243557,30,117064.66942823898,18.83,56.56,0.02
66,41.0429774,-5.064172292,Trabancos,8269.621699,111.045,810.047,43,-0.196243557,33,133887.756747594,18.83,56.56,0.02
67,41.04351914,-5.049555229,Trabancos,7337.267284,109.841,4339.809,41,-0.196243557,20,718513.6454689525,18.83,56.56,0.12
68,41.04312137,-5.038270909,Trabancos,6618.332781,108.871,808.562,39,-0.196243557,26,133889.8337342447,18.83,56.56,0.02
70,41.04974139,-5.077484179,Trabancos,9617.29573,113.036,4694.234,44,-0.196243557,49,777379.9678341905,18.83,56.56,0.13
71,41.04980392,-5.063453247,Trabancos,8680.430581,111.738,1267.075,48,-0.192583302,39,209592.9429283955,18.83,56.56,0.03
72,41.05378769,-5.060898971,Trabancos,8808.248945,111.913,2948.181,46,-0.192583302,56,487881.19739316625,18.83,56.56,0.08
152,40.91551936,-5.078237554,Trabancos,2624.38322,89.831,1009.545,17,-0.204903811,15,167549.37931808032,18.83,56.56,0.03
153,40.89067077,-5.066952443,Trabancos,302.905199,85.036,602.532,24,-0.181243557,7,99550.67183906307,18.83,56.56,0.02
154,40.89063868,-5.066402759,Trabancos,331.3932433,84.942,262.514,24,-0.181243557,7,43465.80183591539,18.83,56.56,0.01
155,40.86077317,-5.056942829,Trabancos,3677.885081,85.282,728.543,23,-0.182583302,8,120585.88529434793,18.83,56.56,0.02
156,40.90586761,-5.059252583,Trabancos,805.9318207,85.064,656.538,22,-0.194903811,11,108663.75680728238,18.83,56.56,0.02
157,40.86594903,-5.05390612,Trabancos,3278.664022,83.844,1502.593,26,-0.191243557,6,249584.25173724865,18.83,56.56,0.04
158,40.84583136,-5.04356484,Trabancos,5687.58853,87.183,1626.112,17,-0.182583302,6,269921.2274463264,18.83,56.55,0.04
163,40.84795739,-5.030697186,Trabancos,6081.162334,85.37,1574.122,19,-0.173923048,0,261509.715460795,18.83,56.55,0.04
199,40.86160376,-5.147103971,Trabancos,4125.171667,110.519,2242.986,22,-0.181243557,4,372954.1504964047,18.83,56.56,0.06
