Manufacturer;Model Number;Pmax;PTC;Technology;A_c;N_s;N_p;BIPV;Isc;Voc;Ipmax;Vpmax;NOCT;Tc_pmax;Tc_isc;Tc_voc;Short Side;Long Side;ISC_Rear;Prear_max
LG Electronics Inc.;LG350S2W-A5;350;317.2;Mono-c-Si;2.012;72;1;N;10.02;46.3;9.44;37.1;47.6;-0.41;0.03;-0.3;1.004;2.004;0;0
LG Electronics Inc.;LG355S2W-A5;355;321.9;Mono-c-Si;2.012;72;1;N;10.07;46.4;9.5;37.4;47.6;-0.41;0.03;-0.3;1.004;2.004;0;0
LG Electronics Inc.;LG360S2W-A5;360;326.6;Mono-c-Si;2.012;72;1;N;10.12;46.6;9.56;37.7;47.6;-0.41;0.03;-0.3;1.004;2.004;0;0
LG Electronics Inc.;LG365S2W-A5;365;331.3;Mono-c-Si;2.012;72;1;N;10.18;46.7;9.61;38;47.6;-0.41;0.03;-0.3;1.004;2.004;0;0
LG Electronics Inc.;LG370S2W-A5;370;335.9;Mono-c-Si;2.012;72;1;N;10.23;46.9;9.67;38.3;47.6;-0.41;0.03;-0.3;1.004;2.004;0;0
Hanwha Q CELLS;Q.PLUS L-G4.2/TAA 350;350;321.6;Multi-c-Si;1.994;72;1;N;9.69;47.71;9.15;38.23;45.2;-0.398;0.05;-0.294;1;1.994;0;0
LG Electronics Inc.;LG370N2T-A5;370;340.1;Mono-c-Si;2.04;72;1;N;9.99;48.8;9.33;39.7;47.8;-0.355;0.03;-0.26;1;2.04;0;0
LG Electronics Inc.;LG375N2K-A5;375;346;Mono-c-Si;2;72;1;N;10.09;48.9;9.62;39;47.2;-0.353;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG375N2T-A5;375;344.8;Mono-c-Si;2.04;72;1;N;10.03;48.9;9.34;40.2;47.8;-0.355;0.03;-0.26;1;2.04;0;0
LG Electronics Inc.;LG380N2C-A5;380;349.5;Mono-c-Si;2;72;1;N;10.31;48.9;9.75;39;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG380N2C(W)-G4;380;350.7;Mono-c-Si;2;72;1;N;10.13;49;9.65;39.4;47.2;-0.353;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG380N2T-A5;380;349.6;Mono-c-Si;2.04;72;1;N;10.07;49;9.37;40.6;47.8;-0.355;0.03;-0.26;1;2.04;0;0
LG Electronics Inc.;LG380N2W-A5;380;349.5;Mono-c-Si;2;72;1;N;10.31;48.9;9.75;39;47.7;-0.36;0.03;-0.26;1;2;0;0
